Artwork,Art Collection,Artist,Cultural Authority,Place of Interest,Language Group,Symbol,NFT,QRCode
Ngapa Jukurrpa,Private Collection,Lettisha Napanangka Marshall,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,dry creek beds ,,
Emu Dreaming,Private Collection,Sabrina Nungarrayi Gibson,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,emu,,
Ngapa Jukurrpa,Private Collection,Zachias Japanangka Williams,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,gecko ,,
Ngapa Jukurrpa,Private Collection,Juliette Nampijinpa Brown,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,watercourse in creek bed ,,
Janmarda Jukurrpa,Private Collection,Jill Nungarrayi Watson,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,small bulbs found in the soft soil on the banks of sandy creeks,,
Seed Dreaming,Private Collection,Fiona Nungarrayi Kitson,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,seeds ,,
Bush Plum,Private Collection,Annie Nelson Napangardi,Anmatyarr ,"Ti Tree, Central Australia",Warlpiri ,conkleberry,,
Bush Plum,Private Collection,Polly Ngale,Anmatyarr ,"Ti Tree, Central Australia",Warlpiri ,conkleberry,,
Dreamtime Sisters,Private Collection,Colleen Wallace Nungari,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,Dream-time Sisters swaying above a scared site.,,
Bush Medicine,"Mbantua Gallery Permanent Collection, Alice Springs",Tanya Bird Mpetyane,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,particular leaves from plant species,,
Uluru (Ayers Rock),"Mbantua Gallery Permanent Collection, Alice Springs",Vincent Forrester,Anangu,"Mutitjulu, Central Australia",Luritja,Ayers Rock,,
TWO LITTLE BOYS,"Mbantua Gallery Permanent Collection, Alice Springs",Vincent Forrester,Anangu,"Mutitjulu, Central Australia",Luritja,two boys,,
Yankirri Jukurrpa,Private Collection,Edward Jangala Robertson,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,emu,,
Marlu Jukurrpa,Private Collection,Michael Japaljarri Wayne,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,kangaroo,,
Ngurlu Jukurrpa,Private Collection,Dorothy Napurrurla Dickson,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,Dreaming ,,
Mina Mina Jukurrpa,Private Collection,Catherine Nungarrayi Malbunka,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,women,,
Tali,Private Collection,Lulu Cooley,Anangu,"Mutitjulu, Central Australia",Luritja,sand dunes,,
Bush Medicine,Private Collection,Abie Loy Kemarre,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,medicinal leaves,,
Mount Napperby,Private Collection,Clifford Possum Tjapaltjarri,Papunya Tula artists,"Papunya, Central Australia", Pintupi-,Mount Napperby,,
Kurri Kurri,Private Collection,Eubena Nampitjin,Balgo ,"Wirrimanu, Western Australia",Kukatja, traditional country,,
My Mothers Country,Private Collection,Barbara Weir,Ampilatwatja and Arlparra,"Utopia, Central Australia",Warlpiri ,My Mothers Country,,
Lander River,Private Collection,Malcolm Maloney Jagamarra, Anmatyerre,"Willowra, Central Australia",Warlpiri ,Lander River system,,
Sand Hills,Private Collection,Sarrita King,Grey Nomad ,"Katherine, Northern Territory",Gurindji ,Sand Hills,,
Travels of Kutungka,Private Collection,Walangkura Napanangka,Papunya,"Kintore, Western Desert",Pintupi,rock holes,,
Mermaid Sisters,Private Collection,Paddy Fordham Wainburranga,Gangan,"Arnhem Land, Northern Territory",Yumplatok,mermaid,,
Fire ,Private Collection,Tarisse King,Grey Nomad ,"Katherine, Northern Territory",Gurindji ,Fire ,,
Yarla,Private Collection,Lorna Fencer Napurrula,Napurrula and Nakamarra,"Yuendumu, Central Australia",Warlpiri ,The Bush Potato grows fibrous tubers,,
Dogwood Tree Dreaming,Private Collection,Liddy Napanangka Walker,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,Dogwood Accia coracea,,
Grass Seeds,Private Collection,Barbara Weir,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,Grass Seeds,,
My Country,Private Collection,Kudditji Kngwarreye,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,My Country,,
Awelye,Private Collection,Barbara Weir,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,linear pattern in this artwork represents a body paint design,,
Bush Hen Dreaming,Private Collection,Abie Loy Kemarre,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,Bush Hen Dreaming,,
Salt on Mina Mina,Private Collection,Dorothy Napangardi,Nangala/Nampijinpa,"Yuendumu, Central Australia",Warlpiri ,movement of the ancestral women,,
Travels of Kutungka,Private Collection,Walangkura Napanangka,Papunya,"Kintore, Western Desert",Kala Lagaw Ya,rock holes and sand hills,,
Bush Turkey Dreaming,Private Collection,Nancy Kunoth Petyarre,Ampilatwatja and Arlparra,"Utopia, Central Australia",Alyawarre,Bush turkey,,
